F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,TARGET
0.125,0.375,0.25,0.25,0.0625,0.3125,0.375,0.125,0,0.125,0.1875,0.4375,0.25,0.375,0.125,0.3125,0.1875,0.0625,0.0625,0.4375,0.1875,0,0.25,0.0625,0.1875,0.4375,0.0625,0.0625,0.1875,0.125,0.4375,0,0,0.5625,0.0625,0.0625,0.4375,0.1875,0.0625,15.5893745
0.363636364,0.181818182,0.181818182,0.181818182,0,0.545454545,0.090909091,0.090909091,0.090909091,0.272727273,0,0.545454545,0.363636364,0.181818182,0.181818182,0.545454545,0,0,0,0.454545455,0.090909091,0,0.363636364,0,0.090909091,0.454545455,0.272727273,0,0.363636364,0,0.545454545,0,0,0.636363636,0.090909091,0.090909091,0.363636364,0.272727273,0.181818182,82.75608593
0.038461538,0.307692308,0.153846154,0.115384615,0.038461538,0.423076923,0.346153846,0.076923077,0.192307692,0.115384615,0.269230769,0.192307692,0.115384615,0.230769231,0.153846154,0.153846154,0.192307692,0.076923077,0.038461538,0.346153846,0,0.076923077,0.115384615,0.269230769,0.153846154,0.307692308,0.038461538,0.076923077,0.115384615,0.269230769,0.346153846,0.076923077,0.038461538,0.384615385,0.038461538,0,0.346153846,0,0,0.377365831
0.212121212,0.212121212,0.242424242,0,0.03030303,0.424242424,0,0.454545455,0,0.242424242,0.242424242,0.212121212,0.060606061,0.393939394,0,0.03030303,0.454545455,0,0.212121212,0.212121212,0.242424242,0.121212121,0.333333333,0.151515152,0.242424242,0.212121212,0.212121212,0.03030303,0,0.484848485,0.424242424,0,0,0.242424242,0.242424242,0.212121212,0.212121212,0.272727273,0.212121212,0.750015982
0.177777778,0.311111111,0.133333333,0.244444444,0.2,0.311111111,0.355555556,0.333333333,0.177777778,0.222222222,0.266666667,0.244444444,0.244444444,0.244444444,0.066666667,0.155555556,0.355555556,0.088888889,0.066666667,0.377777778,0.111111111,0.088888889,0.2,0.311111111,0.111111111,0.4,0.133333333,0.088888889,0.2,0.311111111,0.355555556,0.088888889,0.133333333,0.288888889,0.177777778,0.088888889,0.377777778,0.088888889,0.111111111,3.627634773
0.035714286,0.464285714,0.107142857,0.142857143,0.142857143,0.5,0.178571429,0.285714286,0.357142857,0.142857143,0.392857143,0.178571429,0.214285714,0.357142857,0.142857143,0.071428571,0.5,0.071428571,0.071428571,0.5,0.071428571,0.107142857,0.035714286,0.392857143,0.107142857,0.464285714,0.035714286,0.107142857,0.035714286,0.392857143,0.428571429,0.071428571,0.071428571,0.428571429,0.071428571,0.071428571,0.5,0.071428571,0,10.02225407
0.238095238,0.238095238,0.095238095,0.238095238,0.047619048,0.285714286,0.285714286,0.238095238,0,0.19047619,0.095238095,0.238095238,0.380952381,0.19047619,0.142857143,0.428571429,0.142857143,0.095238095,0.095238095,0.380952381,0.19047619,0,0.428571429,0.095238095,0.095238095,0.238095238,0.333333333,0,0.428571429,0.095238095,0.476190476,0,0,0.333333333,0.285714286,0,0.476190476,0.095238095,0,2.467486581
0.25,0.25,0.25,0.0625,0.0625,0.4375,0.3125,0.25,0.25,0.0625,0,0.5,0.25,0.25,0.25,0.125,0.375,0.125,0.0625,0.4375,0.0625,0.1875,0.4375,0.0625,0.125,0.375,0.125,0.125,0.125,0.375,0.5,0,0,0.4375,0.0625,0.0625,0.375,0.125,0.125,0.232165797
0.3125,0.1875,0.3125,0.1875,0.0625,0.5625,0.125,0.3125,0.1875,0.125,0.0625,0.4375,0.1875,0.1875,0.3125,0.25,0.25,0.125,0.0625,0.3125,0.0625,0.1875,0.4375,0.0625,0.1875,0.3125,0.1875,0.0625,0.3125,0.1875,0.5,0,0,0.4375,0.1875,0.0625,0.25,0.125,0.25,7.205106886
0.25,0.25,0.25,0.0625,0.0625,0.4375,0.375,0.1875,0.1875,0,0.0625,0.4375,0.25,0.25,0.25,0.1875,0.3125,0.1875,0.0625,0.4375,0.0625,0.1875,0.4375,0.0625,0.125,0.375,0.125,0.125,0.125,0.375,0.5,0,0,0.4375,0.0625,0.0625,0.375,0.125,0.125,0.228032496
